Punto vendita,Data,Codice,Nome,Quantità,Prezzo,Totale
CAFEZAL_PREMUDA,2023-12-31 12:40:20,2069,COOKIE,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 12:40:20,2271,SERVIZIO,1,0.5,0.5
CAFEZAL_PREMUDA,2023-12-31 12:40:20,2092,"ACQUA NATURALE 0,5L MICROFILTER",1,1,1
CAFEZAL_PREMUDA,2023-12-31 12:40:20,5396,SIRACUSA,1,5,5
CAFEZAL_PREMUDA,2023-12-31 12:40:20,5368,FUNKY MONKEY FILTRO,1,6,6
CAFEZAL_SOLFERINO,2023-12-31 12:37:45,1003,FLAT WHITE,1,3.8,3.8
CAFEZAL_CSO_MAGENTA,2023-12-31 12:35:34,5002,FLAT WHITE,2,3.8,7.6
CAFEZAL_PREMUDA,2023-12-31 12:32:54,5313,MIGNON,1,2,2
CAFEZAL_PREMUDA,2023-12-31 12:32:54,2014,GARIBALDI,2,1.5,3
CAFEZAL_SOLFERINO,2023-12-31 12:32:42,1053,AMERICANO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 12:32:10,5394,PEACE TRAIN,1,6,6
CAFEZAL_SOLFERINO,2023-12-31 12:32:10,1021,SOIA/OAT,1,0.5,0.5
CAFEZAL_SOLFERINO,2023-12-31 12:32:10,1139,BRIOCHE CIOCCO NOCCIOLE,2,2.8,5.6
CAFEZAL_SOLFERINO,2023-12-31 12:32:10,2001,CAPPUCCINO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 12:29:59,1018,BRASILE DOPPIO,1,3,3
CAFEZAL_SOLFERINO,2023-12-31 12:29:59,5393,PEACE TRAIN 250G,1,28,28
CAFEZAL_SOLFERINO,2023-12-31 12:29:59,2001,CAPPUCCINO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 12:29:59,1139,BRIOCHE CIOCCO NOCCIOLE,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 12:28:41,1017,ATLANTICO,1,2,2
CAFEZAL_SOLFERINO,2023-12-31 12:28:41,1018,BRASILE DOPPIO,1,3,3
CAFEZAL_SOLFERINO,2023-12-31 12:26:47,5341,CASTANHA 250GR,1,16,16
CAFEZAL_SOLFERINO,2023-12-31 12:26:47,5393,PEACE TRAIN 250G,1,28,28
CAFEZAL_SOLFERINO,2023-12-31 12:26:47,1056,GARIBALDI 250GR,1,12.9,12.9
CAFEZAL_SOLFERINO,2023-12-31 12:25:00,5341,CASTANHA 250GR,1,16,16
CAFEZAL_SOLFERINO,2023-12-31 12:25:00,1053,AMERICANO,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 12:19:14,2270,COPERTO,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 12:19:14,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 12:19:14,5315,SCRAMBLED EGG TOAST,1,7,7
CAFEZAL_PREMUDA,2023-12-31 12:19:14,2216,PURE BREW,1,4,4
CAFEZAL_PREMUDA,2023-12-31 12:16:13,2053,AMERICANO,1,2.5,2.5
